day,Aleppo,Damascus,Damascus Suburbs,Daraa,Deir Ezzor,Hama,Hasakeh,Homs,Idlib,Lattakia,Quneitra,Raqqa,Sweida,Tartous
2011-05-16,0.0,1.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-17,0.0,0.0,1.0,3.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0
2011-05-18,1.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0
2011-05-19,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-20,0.0,0.0,1.0,2.0,4.0,1.0,0.0,15.0,25.0,1.0,0.0,0.0,0.0,0.0
2011-05-21,0.0,0.0,1.0,2.0,1.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,1.0
2011-05-22,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2011-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-27,0.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
2011-05-28,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-05-29,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-30,0.0,0.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-31,0.0,1.0,0.0,6.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0
2011-06-02,1.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-06-03,0.0,2.0,0.0,0.0,3.0,45.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0
2011-06-04,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0
2011-06-05,1.0,2.0,3.0,0.0,5.0,9.0,0.0,6.0,62.0,10.0,0.0,0.0,1.0,2.0
2011-06-06,0.0,15.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2011-06-07,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-06-08,0.0,0.0,21.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0
2011-06-09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-10,1.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,31.0,13.0,0.0,0.0,0.0,1.0
2011-06-11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
